IDX	CPT000814	CPT001846	X01BR001	X01BR008	X01BR009	X01BR010	X01BR015	X01BR017	X01BR018	X01BR020	X01BR023	X01BR025	X01BR026	X01BR027	X01BR030	X01BR031	X01BR032	X01BR033	X01BR040	X01BR042	X01BR043	X03BR002	X03BR004	X03BR005	X03BR006	X03BR010	X03BR011	X03BR013	X05BR001	X05BR003	X05BR004	X05BR005	X05BR009	X05BR016	X05BR026	X05BR029	X05BR038	X05BR042	X05BR043	X05BR044	X05BR045	X06BR003	X06BR005	X06BR006	X06BR014	X09BR001	X09BR004	X09BR005	X09BR007	X11BR003	X11BR004	X11BR006	X11BR009	X11BR010	X11BR011	X11BR012	X11BR013	X11BR014	X11BR015	X11BR016	X11BR017	X11BR018	X11BR019	X11BR020	X11BR022	X11BR023	X11BR024	X11BR025	X11BR027	X11BR028	X11BR030	X11BR031	X11BR032	X11BR036	X11BR038	X11BR040	X11BR042	X11BR043	X11BR044	X11BR047	X11BR049	X11BR050	X11BR051	X11BR053	X11BR054	X11BR055	X11BR056	X11BR058	X11BR059	X11BR060	X11BR072	X11BR073	X11BR074	X11BR075	X11BR080	X13BR009	X14BR005	X14BR008	X14BR014	X15BR003	X16BR012	X18BR002	X18BR003	X18BR004	X18BR006	X18BR007	X18BR009	X18BR010	X18BR016	X18BR017	X18BR019	X20BR001	X20BR002	X20BR005	X20BR006	X20BR007	X20BR008	X21BR001	X21BR002	X21BR010	X22BR005	X22BR006
A1BG	-0.6712	1.3964	2.0219	-0.529	1.2556	-0.3843	1.0394	1.1533	1.9579	-0.1637	-0.6469	-0.2035	2.3407	-0.2538	2.4662	0.2366	-0.844	2.3897	0.1646	0.3302	0.77	2.8944	0.3253	3.7293	-1.8078	1.5386	0.6452	2.3617	-0.5433	0.964	0.7901	1.0477	3.6316	-0.6171	1.469	0.3253	-0.4089	-0.7139	1.0922	-0.1358	0.669	-0.027	-0.62	1.3852	-0.0763	-0.1054	-0.8516	-0.6225	-0.4364	-0.4539	1.3627	3.4097	-0.4077	0.9134	-0.41505	0.2853	0.7803	0.9126	0.5347	-0.7356	-0.1581	3.6498	-0.5881	0.9318	1.9095	-0.8687	-1.5691	0.3608	-1.2862	0.5495	0.0252	0.43285	0.7453	-0.5146	3.8201	1.964	-0.2349	-0.7454	-1.1764	0.9933	-0.0651	4.6176	0.2685	-0.7749	0.0467	2.8319	-0.905	-0.3485	0.9526	1.5513	2.7448	-1.053	1.9127	-0.2492	0.8885	0.5139	-0.5058	5.5682	3.0591	2.471	-0.0716	3.9876	0.9967	-0.4652	0.0999	2.1692	1.2343	0.9282	0.856	0.8934	0.4692	1.0545	1.8732	-0.4227	1.5862	-0.297	1.6767	-0.661	-1.3735	1.1583	0.4948	0.5049
A2M	-0.2075	1.3302	1.6269	0.3267	3.4489	-1.0239	-0.1915	2.5655	2.4185	-0.581	-1.2986	-1.2544	3.4867	1.6724	2.9696	0.6025	-0.6432	0.6378	0.7454	0.1414	0.8148	2.3996	0.8112	3.852	-1.3432	0.0663	0.2566	0.4109	0.2689	0.8991	-0.3931	-1.0055	3.5662	-1.8306	0.2028	0.091	-1.3953	-0.3376	0.8715	-0.5987	-1.6028	-0.6151	-1.2988	1.9393	-0.1164	-1.2889	-0.0405	-3.9908	2.3249	-0.9099	1.8899	4.3198	-1.5693	2.3152	-0.6736	-0.8536	-0.698	-0.2126	-0.343	0.638	-0.5114	3.4641	-2.5117	1.6198	1.4993	-0.886	0.615	0.4609	-1.184	0.4456	1.2892	-0.4613	-1.1073	-0.64517	3.9781	0.9985	-1.1693	-0.3526	-0.7419	-0.7002	1.1891	3.7802	0.4054	-0.5871	0.3504	-0.4846	-0.1783	-1.2007	1.1471	1.63885	0.9285	-1.2519	0.2309	-0.4868	2.5242	-0.2428	-0.8686	3.8242	4.0324	1.0447	-1.4044	4.323	1.4745	-0.2157	0.7852	1.7052	2.6467	2.4453	-0.8562	1.6886	0.369	1.0394	1.5261	-1.911	1.6519	1.3457	1.7907	-0.6402	0.4227	0.3329	-1.0986	-0.6582
A2ML1	2.7959	-5.0948	-3.2943	1.4342	2.8043	-5.3604	-3.4196	-0.0396	1.1549	-3.544	-4.8731	-2.6258	4.7909	5.3316	-3.3687	-0.8141	-4.7363	-4.0954	4.4549	3.3694	-2.1245	-8.5411	-4.842	-2.2468	1.5244	-3.7769	-7.2034	-5.1099	-3.7788	-2.8726	-3.9995	-8.0237	-2.4971	-4.1716	-6.4522	5.3769	-6.7233	6.7421	-2.5619	2.5492	1.9541	-3.5455	-4.6066	-1.132	-9.6191	-4.7573	-2.6649	-5.2918	-6.9729	-2.1379	-0.5023	-2.5193	-5.5834	-7.6459	-7.586	-3.714	-3.5729	-8.9169	-2.9194	-0.5871	-0.3232	-3.0911	-4.7809	-6.8743	-4.966	-1.677	-3.6298	-3.9173	-5.6514	-2.0903	-3.3526	-0.2864	-4.3385	-4.9844	1.8659	-4.0947	-0.3108	-7.1852	-4.463	-5.1831	-5.9785	-6.623	-6.3822	-2.6466	-1.9203	-4.9437	-6.1281	-2.0964	-6.4417	-4.11165	-5.0952	-7.1732	-5.1912	-3.0647	3.2493	-3.6096	-4.30725	-1.6206	-1.2905	1.6	-10.1607	-2.9775	-5.4512	-3.6	-8.1266	-4.4149	0.6364	-5.242	-9.3953	-6.0217	-5.9827	-3.5713	4.7528	4.0898	2.4992	3.0502	-2.9086	-4.8578	-4.9553	-5.7358	-8.8314	-7.4699
A4GALT																			-1.502																		0.8724										3.414																						1.0156														0.7792	0.6928					1.1035	0.2449				-1.2545																												
AAAS	1.3969	0.7674	0.3352	0.4938	-0.2956	0.3739	0.9185	0.5518	0.0683	0.0835	0.4044	0.4661	-0.2653	1.039	-0.3267	0.7146	-0.0153	0.5189	0.6238	0.1374	0.8502	-0.2747	-0.0066	-1.7721	0.9868	-0.0033	-0.4141	-0.3877	-0.3203	-0.5681	0.1256	0.5716	-0.9388	-0.6837	-0.0944	-0.0573	-0.3627	1.484	-0.0461	0.0359	1.3385	0.6233	-0.1157	-0.1095	0.1991	0.5156	0.2353	0.7729	-0.1329	0.5705	-0.6201	0.2534	0.838	1.2223	-0.85555	0.3427	0.7011	-0.6406	0.3799	0.5519	0.3533	-0.1318	-0.6422	-0.0349	-0.5247	0.3814	0.4059	-0.2738	-0.0128	0.1389	-0.2879	0.61985	-0.009	0.37763	-0.3604	-0.4981	0.2912	-0.5753	0.4232	0.0594	-0.0772	-1.104	-0.3621	-1.0075	-1.9857	-0.2219	0.285	0.0491	0.1981	0.40525	0.281	0.6588	-0.6971	-0.563	0.3156	0.2816	0.35315	-0.0214	0.3854	-0.2389	0.5622	0.0157	-0.1676	-0.3496	-0.5701	-0.1384	0.0492	0.1072	-0.0125	-0.0481	-0.0874	-0.7841	1.2963	0.6248	-0.5097	0.5019	0.5231	1.2319	0.6327	-0.1658	0.2826	0.657
AACS	-1.0899	-1.6845	-1.0739	-2.8676	-1.7261	3.1422	0.0741	0.0241	-3.3943	-1.1122	-1.565	0.763	-2.63	-2.0366	-1.8053	-1.2747	0.5069	-1.7679	1.3938	-1.0512	-2.0349	-2.0445	-0.8646	-2.3775	-1.0213	1.0579	-1.1195	-1.6781	-5.151	-0.9055	-1.8863	-1.2559	-2.3314	-1.386	-1.4757	-1.8453	0.4559	-0.6746	-3.3529	6.6438	-1.4204	-2.2597	0.1472	-0.0905	0.5039	-0.6257	-0.3737	0.67	-0.4364	-2.4837	0.8102	0.4264	-1.009	0.1383	0.595	0.6605	-1.8474	-1.9189	0.5535	-0.9208	1.2274	0.272	-2.3614	-0.1423	-0.2128	-1.3857	0.6553	-1.1887	-0.7155	-0.8972	1.5903	-0.55195	-0.2459	1.5096	-0.3194	-0.5088	6.8083	-0.4979	-1.6052	1.3893	0.0924	-1.5011	-3.3179	-0.3341	0.1721	-0.2842	-1.0954	5.2712	-0.6604	-0.22025	-0.9905	-1.3993	-2.7172	-1.3112	-0.3846	-1.076	-0.4727	-2.0439	-0.9405	-0.2619	-0.2293	-2.0265	-1.5723	-0.9725	-2.1021	-0.4393	-2.7919	-0.8211	-1.0623	0.1299	-0.4487	-1.1205	0.1748	0.2093	-1.1763	-0.8595	2.3211	-1.6491	-3.1434	-2.0413	-1.0123	-0.7239
AADACL2		1.4522																	-0.5834			1.7438										2.2889					-2.3325								-0.1191		0.3008																						-3.2793					1.0435									-0.81	-1.2359					-3.4303	-0.3735				-1.8484							-0.6047								1.4524													
AADAT			1.2255			7.6788	-1.1402		1.1572	0.0063	-2.3114			-0.0884	-1.4926	-0.7967	-2.3092	-3.7169	0.3486				-1.5402	1.0158		0.8396	-1.8398	-0.1417	0.6458					-1.0982			-0.4986	0.2641		6.1076	0.5944		-1.728	-0.3666		-0.8366	-0.8489	-0.4938		-0.649		0.5768		-2.5465	-2.86595		-2.7737	-2.4744		1.6112	0.9787	0.1748	-2.665		-3.125		-0.1684	-1.0105	0.2619		-3.764	-1.68205	-0.4727	-0.7001			9.0958		-2.5644			-1.4282	-0.8699	-0.046	0.497	0.1787			2.3443	-1.0668				1.2738			-3.193	2.1767				1.1643	-1.3698			-1.2859							-0.5951		-1.5776	-3.166	1.6873			-1.2433	-2.5732	
AAED1	1.6708	2.1022	0.2754			0.1961	-0.0397			-0.1129	-0.6389	0.618		0.4793		-1.5809	-1.343	1.0194		1.3281	1.0313	1.4537	0.9605			-0.5769	-1.1987	0.0158	-1.8199	1.3815		1.6339	0.3822		-0.089	0.9358			-1.1559	0.9365	-0.5498		-1.0922	0.3779	0.0922	0.2859		-0.3937		1.6862	-1.1417	1.9131		-1.6942	0.4046	1.0887	-0.0788	-2.0662	-0.4657	-0.1414	-0.2581	1.283	1.7262		-0.2501			0.4029			-1.6592	0.74775	0.9339	0.04917	0.6665	0.1536	-0.8447		-0.8773			1.3759		-0.2207		0.3199	-0.2006	1.906			1.1155				1.8627	1.8374	-1.2817	1.2181	5.0029	1.2958	-0.7897	1.6789			-0.5732	2.2759	0.7256		0.79				0.0231		-0.5332	-0.3364	2.1673			0.90905	5.7567	0.642
AAGAB	-0.3484	-0.5814	-1.1187	-1.0691	-2.0471	-1.2437	-0.6445	0.4931	-0.4773	0.1343	0.0417	0.7478	-0.303	0.0829	0.1184	-1.3494	0.4181	1.9548	0.742	-0.7372	0.7644	1.2831	1.4867	-0.5773	-1.7108	2.5209	0.868	1.0796	0.3194	0.8691	0.314	-0.0615	-0.1004	-0.4689	0.3313	0.5564	0.0654	-1.2143	-0.0154	0.17	-1.238	1.2587	1.9769	-1.2843	1.667	-0.2086	-0.1252	-1.2401	-0.0474	-1.4868	-0.1994	-0.4335	0.8216	0.6254	1.6916	1.4595	0.2499	-0.2834	-0.6544	-0.5117	-0.2697	-1.4169	2.0508	1.2888	1.9603	-0.8552	-0.695	0.9414	1.0348	1.7908	1.2654	0.33765	1.2091	-1.40477	0.5524	-0.0449	0.1577	0.6063	-1.0494	1.2025	0.6226	-0.1018	0.2285	0.7156	0.7972	0.5235	-0.521	0.1607	1.9788	0.6568	0.5429	1.5085	0.0464	0.8838	-0.6393	-0.3674	0.14945	-0.1179	1.0005	0.1298	-0.5612	-0.1543	1.2783	0.2205	0.4928	0.7646	-0.6651	0.6845	-0.0262	1.5536	-0.3485	0.2457	-0.6342	-2.0772	-0.099	-0.1085	1.2709	-0.3074	0.3071	-0.241	1.7644	2.2376
