IDX	CPT000814	CPT001846	X01BR001	X01BR008	X01BR009	X01BR010	X01BR015	X01BR017	X01BR018	X01BR020	X01BR023	X01BR025	X01BR026	X01BR027	X01BR030	X01BR031	X01BR032	X01BR033	X01BR040	X01BR042	X01BR043	X03BR002	X03BR004	X03BR005	X03BR006	X03BR010	X03BR011	X03BR013	X05BR001	X05BR003	X05BR004	X05BR005	X05BR009	X05BR016	X05BR026	X05BR029	X05BR038	X05BR042	X05BR043	X05BR044	X05BR045	X06BR003	X06BR005	X06BR006	X06BR014	X09BR001	X09BR004	X09BR005	X09BR007	X11BR003	X11BR004	X11BR006	X11BR009	X11BR010	X11BR011	X11BR012	X11BR013	X11BR014	X11BR015	X11BR016	X11BR017	X11BR018	X11BR019	X11BR020	X11BR022	X11BR023	X11BR024	X11BR025	X11BR027	X11BR028	X11BR030	X11BR031	X11BR032	X11BR036	X11BR038	X11BR040	X11BR042	X11BR043	X11BR044	X11BR047	X11BR049	X11BR050	X11BR051	X11BR053	X11BR054	X11BR055	X11BR056	X11BR058	X11BR059	X11BR060	X11BR072	X11BR073	X11BR074	X11BR075	X11BR080	X13BR009	X14BR005	X14BR008	X14BR014	X15BR003	X16BR012	X18BR002	X18BR003	X18BR004	X18BR006	X18BR007	X18BR009	X18BR010	X18BR016	X18BR017	X18BR019	X20BR001	X20BR002	X20BR005	X20BR006	X20BR007	X20BR008	X21BR001	X21BR002	X21BR010	X22BR005	X22BR006
A1BG	-0.1376	1.1669	-0.547	-1.1991	0.7322	-0.5071	-0.0808	-3.5958	-2.5947		0.5284	0.5063	-0.7947	-0.9787	-0.7346	-2.3294	0.6341	0.0021	0.7409	3.1436	2.1032	-1.9456	-1.27	-1.3604	-1.3675	-0.3971	1.9917	1.5149	-1.5798	-0.8451	2.0583	2.6059	-1.125	1.1078	-0.4652	-0.3724	-1.2827	-0.9127	-2.0996	-0.6153	0.0451	-3.3091	0.6118	-2.2182	1.2368		0.8167	0.7399	0.7411	-3.2835	2.2323	3.4565	2.1838	-1.6117	-0.4098	0.5052	-0.5248	0.4625	1.1647	1.9121	-0.3238	-0.0362	0.4422	-2.5961	-2.3809	-2.9872	-1.4695	0.3571		-2.5617	-0.1573	-3.0805	0.8933	-0.0452	-3.0019	1.015	0.5058	-1.8523	0.2405	4.2651	0.4223	-0.7714	3.352	-0.655	2.03	4.753	-0.0632	1.7979	-1.5873	1.7137	0.3201	-1.7478	3.9243	-1.5002	2.0785	-0.296	0.229	3.7015	-1.7063		0.0049	1.1952	-0.1013	3.4764	1.79	2.5283	-0.7545	0.8169	-0.2447	0.2927	1.6481	2.8724	3.208					0.0983		-1.8883	-3.8105	-2.2787
A1BG-AS1	0.4228	0.6007	1.3821	0.3955	1.6179	0.5569	1.478	-2.6015	-0.4866		1.2485	0.5496	1.0938		0.242	-1.2431	0.8617	-0.0052	0.2918	0.7988	0.0195	0.3371	-1.2142	0.0653	-1.0416	0.2915	0.6118	-0.634	-0.4303	-1.0056	2.0954	2.8123	-2.7447	1.2709	-0.0557	-0.3785	1.8868	-0.3155	-0.7749	-0.105	-0.5663	-3.0426	-0.0274	-0.7936	2.053		-0.0999	-0.5675	0.8809	-2.8996	0.3097	0.9642	-0.5473	-1.8277	-0.9465	0.711	-0.8641	1.017	0.1625	-0.0196	-0.4237	0.0284	1.4374	-0.1179	-0.747	-1.1652	0.0316	-0.4677		-1.325	-2.4638	-2.1797	0.4199	0.1551	-1.6765	0.8473	1.4581	-3.5871	0.7386	1.1152	0.4669	-0.238	0.5424	-0.5136	-0.6074	0.9491	-0.8765	0.2694	-1.2058	-2.3012	0.7293	-0.2736	0.0536	0.1679	0.5594	-0.8468	-1.5766	-0.1877	0.8311		-0.1609	0.9152	-0.1139	0.5295	-3.6106	-2.204	-0.3687	1.1051	-0.0222	0.9756	1.1814	-0.221	0.2525	0.0429	-0.6183	-1.0031	-0.3125	0.3047		-0.5348	-1.2389	-0.3356
A1CF										-0.2025												0.0488																																									5.5777			-0.1479												0.0564																		2.0071						-0.2352	9.5252									4.5982										
A2M	-0.8099	-1.062	-0.4787	-0.4675	0.3853	-0.9963	0.3178	0.1617	-0.1096	-0.297	-1.1079	-0.1449	3.456	1.1055	0.8668	0.3236	-1.2713	1.0729	-0.9469	-1.5951	-2.2615	0.3589	0.0224	2.1941	-0.7443	-0.665	0.4501	0.394	1.6814	1.127	-0.3133	-0.6622	2.0739	-0.2078	1.8564	-1.9019	-0.3013	-0.6009	-0.2563	-0.5602	-0.8906	0.3698	-0.2613	2.7292	-0.6303	-0.577	-0.9482	-0.7168	-0.8637	0.5177	-0.4605	0.4102	-0.7018	-0.3234	0.4842	-0.153	0.0511	0.775	-0.2495	0.2434	-0.373	1.6677	0.0266	0.2195	0.2546	-0.1342	2.1924	-0.7629	0.3549	0.0015	0.248	1.3658	1.0687	-1.2235	0.2211	0.022	-0.7941	-0.2332	-0.9881	-0.5813	-1.2225	1.3353	-0.4664	-0.7897	-1.0911	0.7356	0.4817	0.5575	1.7987	0.2069	0.2912	-0.1135	0.4558	0.4183	-0.8587	-1.3412	-0.6576	0.8378	-0.1035	0.3718	-0.4629	0.063	-0.5607	-0.6493	-0.0863	0.1174	0.9367	0.4276	-0.5005	0.6104	0.189	-1.1825	1.2794	0.219	-0.0846	0.3941	0.6519	-0.2282	1.9485	0.4372	0.3754	1.1573
A2ML1	4.4108	-2.0181	1.7676	4.9302	5.7791	1.0896	-1.7907	5.709	5.9311	-0.1818		-0.6998	6.8321	7.0105	-2.5062	3.9032		-0.5418	5.3521	4.3311	-3.4913	-0.0792	-0.3979	0.3752	3.3127	-1.3499		-1.5453	4.4682	-2.1183			-1.9241	-3.1626	-6.6367	5.2133	-3.7648	6.8702	5.6026	5.4596	4.1839	3.0577	-1.5096	4.1479	-5.1715		0.2125	-1.699	-0.4044	3.5618	4.6724	-0.27	-3.1876	2.0586	-1.8763		-4.5211	-3.4638		4.3963	4.984	0.0544		1.2022	-0.2927	5.0958	2.7539	0.1043		4.0481	6.0258	5.8956	-1.6722	-0.0368	4.2183	-2.1009	3.6265	-4.7774	-0.2745	-1.219	-3.1261	-1.2751		-0.4014		-1.4428	4.7653	3.3247	2.0813	2.7191	-5.1419			-2.924	6.2959	-2.1093	0.2585	-6.6376	-1.2956	6.4358	-1.4834	-0.5789	-2.6882		-1.3818	5.1177	4.9446	-0.451	-1.0506	-1.6374	-3.2503		8.0776	4.859	3.9785	4.5282	-2.0069	-1.7158	-4.018		1.7639	-2.331
A2MP1	-1.3883	1.3507	1.005	0.5122	-0.731	-3.0847	-0.0345		-0.5323				2.5008		0.7623			-0.4015		0.3565	-0.12		-0.5273		-1.6838		0.4276	1.0301		-0.0472		-1.7383	0.3806			0.1808	-1.1681	4.8383	-0.3774				-0.6004	-1.2603		0.4768		-0.9042	-0.186		-1.0791	-3.356	0.2451	0.757	-1.1328	-0.3782	0.7434	-2.5923	-1.4313	-2.1265		0.1892	-0.1508		-2.4086	-1.5879	7.0352		-0.5602	-2.8712	2.6388	-0.7157	0.1748	-2.0444	0.3149	-1.2995				1.393		-2.0663			-2.4447	0.6167	0.3201	0.9742	0.8864	1.098	0.8981		-0.216	0.7367		-2.5459	-0.5845	1.637		-0.078	-2.0243		1.3605		0.7766	0.5898	1.9498		-1.2564		-0.6227	-1.7907	0.3308	-1.6982	-0.1008	1.0696	-1.0828	1.0034		0.0625	1.1109	
A3GALT2	-2.128	6.3206		-2.2348		-0.7761							8.2175											9.7632		5.6999		-1.3285	-0.6352		-0.2531				12.0924		-0.1245	1.0894	-0.6475		6.5264				-1.155		-0.322		-2.6024					10.1223							-2.7535												10.9078	-0.1432											-2.5165	1.3927			10.3925		-2.4615		13.5583	-1.2754		7.8175				0.2056	1.1438			-0.1171			9.0184				-2.3538							5.7008				
A4GALT	-0.8649	1.0048	0.5823	-0.8793	0.0754	-1.1413	-0.5181	-0.7336	0.8801	-1.6883	0.6456	0.7127	0.1906	-1.6701	-0.599	-0.6871	0.0797	1.3335	3.591	0.541	3.8282	-1.058	0.6898	0.4306	0.1376	-1.6241	4.88	1.2764	-0.6304	0.6113	-1.4994	-0.178	0.0229	-1.9695	1.2933	0.1456	-1.1609	4.2115	-0.4024	-1.4839	-0.3745	-0.9749	0.5552	6.6384	-1.2814	0.6708	0.1408	-0.7865	0.1581	-0.5437	2.005	1.1858	-1.8092	6.4901	1.5981	-1.7295	-0.2389	1.1502	-1.4391	-0.6698	-1.3719	0.253	-2.0617	1.1641	-0.2946	-1.0749	-0.7367	-1.0005	1.9629	-1.0479	-1.0507	-0.5581	5.8169	-0.7213	-0.6555	3.0234	-1.1393	1.1202	1.6829	-0.7141	1.4339	1.8268	0.1274	-1.7259	0.7725	0.4628	0.5884	0.4186	1.226	-0.8489	-0.3197	-0.3369	7.8061	-1.0348	-0.5272	1.3024	-2.1016	0.3719	0.7118	-1.6215	-0.2496	0.2276	-2.1724	5.025	0.712	2.6853	-0.6648	1.9178	0.2712	0.5094	0.7351	-0.9212	-0.8531	-2.6372	-2.4661	-2.5902	-2.1888	-0.1027	3.6028	-3.3155	0.6754	-0.2307
A4GNT					-2.0148														-0.5105		-1.4458										0.6116																			-1.7361									6.5723	-0.0306					-2.703		1.8742								1.4905		-0.5905											0.0005											0.6755							-3.2397			1.2562							5.911		-1.3899				
AAAS	0.2411	-0.1102	-0.4226	0.0405	0.2662	-0.009	0.3583	-1.1873	-1.1031	-0.2293	0.5253	-0.3533	0.0489	-0.2524	-0.4485	-0.1894	-0.5032	-1.0282	-0.2585	-0.2701	0.215	-0.3945	-0.7571	-0.7939	0.8649	-0.3977	0.4001	0.1492	-0.9235	-0.2532	0.9121	0.5626	-0.762	-0.1302	-0.0529	0.0255	0.6402	-0.095	-0.753	-0.0419	0.4746	0.1455	0.4205	-0.1489	0.33	0.5723	0.5459	-0.3286	0.5315	-0.2702	-1.0619	-0.0438	-0.0175	-0.4703	-0.3453	0.2227	0.058	-0.0011	0.7552	-0.4729	0.4293	-0.2764	0.1792	0.1624	0.1173	-0.4993	-0.4017	0.3871	0.3129	-0.049	-0.663	1.1518	0.4552	-0.5835	-0.53	-0.0838	-0.041	0.8443	0.1092	0.2496	0.7422	-0.9931	0.0702	-0.1128	0.5548	0.4397	0.1136	0.1329	-0.0358	-1.2058	0.4231	0.2113	-0.0438	-0.8116	-0.6344	0.5126	0.1331	-0.3255	0.3035	0.1417	0.3585	0.0397	0.701	0.1777	-0.1642	-0.1887	-0.7272	0.1904	0.2892	-0.5608	-0.0696	-0.32	-0.5012	-1.021	-0.4402	-1.1223	-0.7546	0.6542	0.5218	-0.6146	0.1006	0.5902
