gene	gwas_score
FTO	0.9720613295954468
PPARG	0.9657289026903054
CTRB2	0.9505510730977453
CTRB1	0.9499261464682776
SLC30A8	0.9413366684183516
KCNJ11	0.9335108820933907
KL	0.9303729132872626
LPL	0.9213077944743958
APOE	0.917289236145116
UBE2E2	0.9126108293847083
ANKH	0.8999390317853144
ABCC8	0.8957250317048474
TCF7L2	0.894987834270626
HMGA2	0.8911875499374851
WFS1	0.8892033999164167
FGFR4	0.888790228332766
JAZF1	0.8833790697297622
PROX1	0.8786898080947007
PAX4	0.8781124099655722
HNF4A	0.8767022658615714
GLP1R	0.8766522688604986
TRIM66	0.8631380427275221
PAM	0.8617432093484569
WSCD2	0.8611075833431617
DGKB	0.8598398041657541
MTNR1B	0.8595666867836648
GRP	0.8581378410117786
HNF1A	0.8576038050721088
IGF2BP2	0.8508814338964951
RASGRP1	0.8504491107558066
TFAP2B	0.8485662083593563
TLE1	0.8473553486354217
PNPLA3	0.8451010272555689
SINHCAF	0.8417797518533027
ADAMTS9	0.8396464302153304
ZFHX3	0.8386634490392862
GRB14	0.8379109192572118
ABO	0.8348298790571111
TENT5C	0.8345815016853637
CDKAL1	0.83336312290248
GP2	0.8312779242480433
SPRED2	0.8307872349176496
JADE2	0.8293601907099407
CDKN2B	0.8252178728371176
MYO5C	0.8246768292912566
ACVR1C	0.8237808973368177
FBRSL1	0.8218861642004913
MBNL1	0.8215407850150149
ATXN7	0.8182575474178618
RNF6	0.8162184132427105
KCNQ1	0.8147415047067651
TET2	0.8139045141930376
EYA2	0.8133400261970968
ETS1	0.8132766219376291
SLC22A3	0.8131059025586892
SLC2A2	0.8120448469050795
ADCY5	0.8118745507235788
NEUROG3	0.8117232966500959
GLIS3	0.811158759566278
TMEM106B	0.8101376612014837
PGM1	0.8092809076203664
BCL2L11	0.8086149679366524
RFX6	0.8085057732207187
NLGN1	0.8072653311558142
RREB1	0.8065361010478548
ETV1	0.8046531904808776
KSR2	0.8044637082828118
BEND3	0.8038606239761741
PSMD6	0.8012832052834855
ARAP1	0.800908322339306
SLC12A8	0.8007546874083484
EBF2	0.7998696942763245
SCTR	0.7995438680491413
CENPW	0.7991436096217465
FAIM2	0.7988202019948829
RGS17	0.7983093238905169
AUTS2	0.7971743878779796
TSPAN8	0.795740360900907
LEPR	0.7953422850226892
KCNK17	0.7931907491555835
GTF2I	0.7925885310619253
CTTNBP2	0.7904479237296445
HHIP	0.7901905948255052
TFRC	0.789840843127815
CDKN1B	0.7885879205562197
RSPO3	0.7879175830383207
CCND2	0.7871687876657695
KCNU1	0.7864236408264116
TCF4	0.7862457654791599
MC4R	0.7862456974092389
THADA	0.7842330023203344
NUS1	0.7834228113944776
