gene	log2hr	pval
ACY1	1.1505596765753814	0.0
RTN4R	1.1375035237499351	0.0
IGSF3	1.232660756790275	0.0
PON3	-1.2175914350726267	0.0
IL1RN	1.1309308698264486	0.0
CPM	1.1243281350022019	0.0
IL18R1	1.1505596765753814	0.0
NFASC	1.2570106182060239	0.0
PRCP	1.1699250014423124	0.0
GDF15	1.3561438102252754	0.0
HGF	1.1505596765753814	0.0
FABP4	1.1375035237499351	2.87e-322
LEP	1.2387868595871165	1.372615707e-315
ADGRG1	1.1634987322828796	7.940664715e-315
GUSB	1.070389327891398	2.044240505885e-301
CDH2	1.0976107966264224	3.0067649337783e-297
PLXNB2	1.0840642647884746	6.18969997392734e-297
LGALS4	1.0496307677246004	7.41821062260538e-288
CTSD	1.0285691521967708	3.27794691051524e-285
KRT18	1.0496307677246004	3.33752837158722e-281
CDHR2	1.0840642647884746	1.2789892807408e-280
ASGR1	1.0071955014042038	5.81199620874994e-272
GSTA1	0.9927684307689242	1.07625189848578e-268
FURIN	0.9927684307689242	6.37983415952706e-265
INHBC	0.9708536543404835	1.58000134261934e-260
ACE2	1.0285691521967708	3.41540189899024e-259
RBP5	0.9781956296816515	2.32271071691372e-254
IGFBP2	-1.0	5.58117690634943e-249
ADH4	0.963474123974886	1.50098980540418e-246
CES1	0.9335726382610239	4.5823547677364e-242
GGT1	0.963474123974886	4.02653248984429e-240
PRSS8	1.0	2.69484324643313e-239
FABP1	0.9335726382610239	3.92065823260347e-232
SELE	0.9335726382610239	4.93582323668883e-231
TNFRSF10A	0.9335726382610239	7.29548335408485e-229
FGFR2	0.9486008474933557	2.00688343543299e-224
IGFBP1	-0.9159357352115255	1.46034335376419e-222
PTS	0.903038270112912	7.19085235866939e-221
CTSO	0.8797057662822882	2.0608419124904e-215
TNFRSF10B	0.9411063109464314	9.465843446046e-215
ITGA5	0.8953026213333067	1.89525658568268e-214
GSTA3	0.8718436485093178	8.10090719590897e-213
TNFRSF11A	0.9107326619029126	3.93350994201939e-212
GOLM2	0.8479969065549501	1.14533524513975e-208
RET	0.8639384504239717	3.60506321958345e-197
PAMR1	0.8399595874895318	9.88597299235186e-195
BAIAP2	0.8318772411916731	1.37561960764288e-194
IL6	0.8318772411916731	5.16903182594302e-194
FGF21	0.8318772411916731	1.09104210169422e-193
HAVCR1	0.9183862344463479	6.57947444381381e-193
F9	0.8237493603082727	3.42811514216225e-191
C1QTNF1	0.8237493603082727	2.61111862007568e-188
CA14	-0.8365012677171204	2.41309167684186e-187
THBS2	0.8073549220576041	1.68287805469805e-184
C2	0.8155754288625726	5.35755366199517e-184
HSD11B1	-0.8109661756099832	9.82580033335716e-182
MSR1	0.8399595874895318	2.21416548761835e-181
PLAT	0.8237493603082727	7.11317855257218e-176
HAO1	0.7990873060740036	5.93137689328798e-173
APOM	-0.7858751946471527	1.0038554980803e-172
CNTN3	0.8155754288625726	3.2952773925319e-172
SIGLEC7	0.7907720378619999	3.98536179859831e-171
MVK	0.7907720378619999	4.38136791472013e-170
PIGR	0.7824085649273732	8.29328302870922e-170
C19orf12	0.7824085649273732	1.88491826072486e-169
LPL	-0.8365012677171204	8.48526943291218e-168
CD163	0.7739963251111731	1.55358912624384e-167
CDCP1	0.8237493603082727	2.82423267199748e-166
ASAH2	0.7907720378619999	4.65608682799236e-166
LGALS9	0.8073549220576041	4.91079000597758e-166
