gene	log2fc	pval
ABCB6	-0.5896964409273204	9.901424913375143e-11
RNF38	0.3493079856829553	2.9198476588817607e-10
PTPN9	0.36110176850751863	3.3888233874121433e-10
INSR	0.23524258530075315	1.4583782956190465e-09
PRRG1	0.45508032126691944	5.9918168934446825e-09
FOSL2	0.5599065487449906	7.86212556927513e-09
TP53INP1	0.33691835954260974	9.013139175816275e-09
MLH1	-0.24674534173119866	1.0189122361419855e-08
IL1R1	0.4434815968659187	2.6002922958495025e-08
SOX4	0.37237781983082563	2.775133757254443e-08
ARNTL2	0.5508529209743109	2.9591184802840174e-08
TANC1	0.4386368139705521	4.380996724947948e-08
NRIP1	0.33394200517293626	4.430523962570021e-08
ZC3H13	0.3670779202587706	4.769147511382511e-08
ARHGAP18	0.31285914201754217	6.131283080724426e-08
MARCKS	0.12543373013785164	6.172358567400247e-08
GJA1	0.4572835033646623	6.508860317248174e-08
HHATL	-1.4015057709761924	7.202888384087347e-08
ARG2	-0.7500844717719257	7.777253382009197e-08
VEZF1	0.17386081570802503	7.925046583168939e-08
WHSC1	0.35898851372118123	8.509163111725407e-08
FNIP2	0.3137070737969889	8.643746778822993e-08
EIF2B3	-0.2632693990626578	9.742768187691091e-08
ATP11C	0.5261781281134077	1.0046240359895287e-07
ZFP36L1	0.2512042847681695	1.0707881802127881e-07
RTF1	0.26908374894047427	1.1670824803578276e-07
FOXK1	0.32491210100251067	1.2379544889933193e-07
RSU1	0.35880923897055084	1.2642891935649605e-07
SOX9	0.668182270464289	1.331676920219384e-07
RAPGEF2	0.25459527488095013	1.3966161817653357e-07
TPBG	0.45289657820363516	1.8715483704653417e-07
SMARCC1	0.3268538214536356	1.9128743360293647e-07
OSMR	0.5144242175501237	2.3551262107698645e-07
C8orf4	0.5298633054880977	2.3606308721389248e-07
PRIM2	0.34768278880137693	2.461286994805434e-07
DBN1	0.3968609097568887	2.782401200409937e-07
REST	0.5033835213433555	2.8591870574645157e-07
VANGL1	0.49840431579322875	2.9731782985478947e-07
ZBTB39	0.32484803600564405	3.159497540879878e-07
RYK	0.27701991038220974	3.193760354055986e-07
CCDC104	-0.3280585089348378	3.300301829939642e-07
ZNF609	0.33736792890914913	3.545116058885553e-07
JADE3	0.4795727676766859	3.631280584403419e-07
TLE4	0.3189449128928583	3.896496009757951e-07
SLC25A4	-0.2777155492230605	3.9733889796056877e-07
TAF4	0.26448545030639004	4.1919514246157213e-07
BAZ1A	0.3640089046616506	4.203301082717427e-07
ZNF217	0.4620104543345871	4.3023301775487666e-07
PDGFA	0.2801265012030125	4.43697579023442e-07
THBS1	0.7708213324573947	4.6828001524551066e-07
WEE1	0.41485833664160054	4.991264879194906e-07
IL17RD	0.6581680230858371	5.147462667852188e-07
PCGF3	0.2826507611842093	5.212473307792498e-07
ROCK2	0.2606394185269423	5.275238879376998e-07
ZNF222	-0.3750404764367179	5.335557213484422e-07
PPIC	0.43435674302004834	5.415871885279351e-07
GRHL2	0.5254696004924817	5.485967245877006e-07
KLF3	0.2927345313721812	5.489396000197062e-07
TEAD2	0.5393372911585192	6.346341329184289e-07
HRK	-1.0714888374887224	6.725889622151959e-07
SH3BP2	0.7916772870068947	7.345987015381313e-07
SATB2	0.47250339942857345	7.428844746556132e-07
CLIC4	0.2907405024248142	8.003912765874429e-07
SEC23B	-0.25663819753133055	8.656719343110284e-07
FMNL2	0.4210798401002531	8.900634049958124e-07
RLTPR	-0.3897605414962406	8.968054555349141e-07
YAP1	0.5133935394780682	9.309457993990652e-07
STK38L	0.4567836427487393	9.649720908002592e-07
EPHB4	0.4689411158847161	1.014473349587305e-06
