gene,rna_lfc,rna_p,prot_lhr,prot_p,gwas_score,concordant,transcriptomic,proteomic,genomic,score
LPL,0.327651034715541,0.0427254585362818,-0.8365012677171204,8.48526943291218e-168,0.9213077944743958,False,0.327651034715541,0.8365012677171204,0.9213077944743958,0.9267578125
BAIAP2,-0.4130924458884744,0.0012348740676263,0.8318772411916731,1.37561960764288e-194,0.3531730182354376,False,0.4130924458884744,0.8318772411916731,0.3531730182354376,0.92529296875
CRH,-0.876820512986848,0.0149442351679902,-0.5145731728297583,2.20134841580249e-75,0.2985696068495319,True,0.876820512986848,0.5145731728297583,0.2985696068495319,0.9117838541666665
CSF1,0.3389402732023807,0.0136328068276173,0.6599245584023783,1.4822717669285402e-117,0.594804297775683,True,0.3389402732023807,0.6599245584023783,0.594804297775683,0.9000651041666666
IL17RB,-0.4952444273665399,0.0026784354926877,-0.5777669993169522,4.34397768793983e-94,0.1741434832298161,True,0.4952444273665399,0.5777669993169522,0.1741434832298161,0.8990885416666666
IFNLR1,0.3925875435325814,0.0004579621759558,0.5160151470036647,8.35856884563618e-78,0.6202709508785592,True,0.3925875435325814,0.5160151470036647,0.6202709508785592,0.89501953125
ROBO1,-0.3321885289229342,0.0390273778492366,0.6780719051126377,9.528767587915399e-129,0.4177711733907927,False,0.3321885289229342,0.6780719051126377,0.4177711733907927,0.8907877604166666
PCDH17,-0.4170737882030053,0.014979917155449,0.4750848829487826,3.0272503157648e-65,0.511863116904241,False,0.4170737882030053,0.4750848829487826,0.511863116904241,0.8875325520833333
NPY,-0.3961114959260623,0.1799780861793666,0.5558161550616397,1.23022416639525e-85,0.3603591410984851,False,0.3961114959260623,0.5558161550616397,0.3603591410984851,0.8846028645833333
SLIT2,0.4681427727669227,0.0001640895270868,0.4005379295837288,1.9067860470023802e-47,0.65705116026054,True,0.4681427727669227,0.4005379295837288,0.65705116026054,0.88330078125
PAMR1,-0.2461123514204244,0.173797508002391,0.8399595874895318,9.885972992351859e-195,0.4245397110002666,False,0.2461123514204244,0.8399595874895318,0.4245397110002666,0.8759765624999999
MUC13,-0.3385280059260633,0.0307604158155645,0.7398481026993274,9.20158322696027e-144,0.0482412939668021,False,0.3385280059260633,0.7398481026993274,0.0482412939668021,0.8681640625
TNFRSF11A,-0.2101222395827129,0.0545707962850035,0.9107326619029126,3.9335099420193903e-212,0.4782561571961197,False,0.2101222395827129,0.9107326619029126,0.4782561571961197,0.86328125
APBB1IP,0.4047524734417314,0.0632031432542327,0.5160151470036647,4.6097546570779496e-79,0.0828428852881146,True,0.4047524734417314,0.5160151470036647,0.0828428852881146,0.8631184895833333
CTSZ,-0.339126736942978,0.0212386831048218,0.6599245584023783,6.42571417669343e-120,0.0465814221808895,False,0.339126736942978,0.6599245584023783,0.0465814221808895,0.8580729166666666
SCG3,-0.593416057131579,0.0052868943523922,-0.3400754415976217,2.50368325965473e-32,0.1562256357375074,True,0.593416057131579,0.3400754415976217,0.1562256357375074,0.8429361979166666
ST6GAL1,0.2121519548082684,0.1883250577167939,0.5558161550616397,6.373431193644221e-88,0.7545345185072867,True,0.2121519548082684,0.5558161550616397,0.7545345185072867,0.8406575520833333
DLK1,-0.5494653484755645,0.0256865202721345,0.2630344058337938,6.3706482843034005e-21,0.5758908501767842,False,0.5494653484755645,0.2630344058337938,0.5758908501767842,0.83251953125
LIFR,0.3614332105025006,0.0061814907997068,0.4646682670034442,1.27500876730372e-60,0.0471215672164852,True,0.3614332105025006,0.4646682670034442,0.0471215672164852,0.8304036458333333
AMIGO2,0.4352921284743125,3.4758656755399184e-06,0.3334237337251918,1.06691895026409e-34,0.2688891275400755,True,0.4352921284743125,0.3334237337251918,0.2688891275400755,0.8266601562499999
ROBO2,-0.6697659007192946,0.0124099835690861,0.2265085298086797,2.5528722728821502e-15,0.6512262685288069,False,0.6697659007192946,0.2265085298086797,0.6512262685288069,0.8263346354166665
HSPG2,0.3035624223615265,0.0087280937286485,0.4854268271702416,1.3582173455171402e-61,0.0395967862451844,True,0.3035624223615265,0.4854268271702416,0.0395967862451844,0.8147786458333333
LTBP3,-0.1603867578070197,0.1638413532998077,0.5945485495503542,1.11187806262101e-97,0.7377510490634703,False,0.1603867578070197,0.5945485495503542,0.7377510490634703,0.8134765625
ENAH,0.3405906038721813,8.799329672805862e-05,0.3673710656485294,2.62216499859571e-39,0.286285247192548,True,0.3405906038721813,0.3673710656485294,0.286285247192548,0.8124999999999999
LIF,0.4663917347706814,0.0029263508187833,0.3103401206121505,4.32252476668412e-29,0.0664922432687541,True,0.4663917347706814,0.3103401206121505,0.0664922432687541,0.810546875
LRRN1,0.5887009236723051,0.0037130065309424,-0.2344652536370229,5.95246788564443e-17,0.394237557348105,False,0.5887009236723051,0.2344652536370229,0.394237557348105,0.8087565104166666
NRP1,0.2973841763834599,0.0015742414686249,0.3785116232537298,2.37565909862716e-40,0.3507834393629147,True,0.2973841763834599,0.3785116232537298,0.3507834393629147,0.8064778645833333
THY1,-0.1916879412380945,0.414562557836841,0.5849625007211562,5.48774238826144e-94,0.2351258314715401,False,0.1916879412380945,0.5849625007211562,0.2351258314715401,0.8038736979166666
PDGFC,0.3687095536936144,0.0004143580124274,0.2630344058337938,1.06875181078458e-21,0.6372658194862768,True,0.3687095536936144,0.2630344058337938,0.6372658194862768,0.8022460937499999
FABP4,-0.5692309508490014,0.0297239521467858,1.1375035237499351,2.87e-322,0.0,False,0.5692309508490014,1.1375035237499351,0.0,0.7898763020833333
GALNT3,0.2874666701817006,0.0006593350705844,0.2750070474998697,3.50710390588474e-24,0.6716912511535891,True,0.2874666701817006,0.2750070474998697,0.6716912511535891,0.78173828125
CTSH,0.2330140315357152,0.1704260372839892,0.3334237337251918,8.21650444587534e-34,0.5802158223696721,True,0.2330140315357152,0.3334237337251918,0.5802158223696721,0.77783203125
VEGFA,-0.1642005209210584,0.0055957646256564,0.4541758931858021,1.03061058623466e-58,0.5315249621991242,False,0.1642005209210584,0.4541758931858021,0.5315249621991242,0.7762044270833333
CCL7,0.6177206834999991,0.036671744663191,0.7136958148433589,2.16565489615666e-144,0.0,True,0.6177206834999991,0.7136958148433589,0.0,0.7727864583333333
CEBPB,0.3307893720432293,0.0004568298069303,0.2750070474998697,2.83268249002079e-24,0.29098846532505,True,0.3307893720432293,0.2750070474998697,0.29098846532505,0.77099609375
TNFRSF10A,0.4632038753966174,0.0012891272153111,0.933572638261024,7.295483354084849e-229,0.0,True,0.4632038753966174,0.933572638261024,0.0,0.7705078125
NUCB2,-0.2627973278070179,0.005122320384656,0.3673710656485294,1.05480559225936e-38,0.0757824358807608,False,0.2627973278070179,0.3673710656485294,0.0757824358807608,0.7705078125
ERBB3,0.4177253406485004,0.0049873353307853,0.2141248053528473,9.52371670723171e-15,0.3218200062301624,True,0.4177253406485004,0.2141248053528473,0.3218200062301624,0.7698567708333333
AMBP,0.1711083747330803,0.2907687722956183,0.5558161550616397,1.59782456112376e-79,0.0510794983274348,True,0.1711083747330803,0.5558161550616397,0.0510794983274348,0.7693684895833333
EPO,0.1742962964379684,0.2519613062159846,0.4646682670034442,7.27946796588012e-63,0.218511598244764,True,0.1742962964379684,0.4646682670034442,0.218511598244764,0.7682291666666666
GHRL,-0.9065182766641602,0.0043124563226083,-0.5994620704162712,3.80184683315832e-100,0.0,True,0.9065182766641602,0.5994620704162712,0.0,0.76611328125
IL6,0.4545465464392215,0.0600525417398915,0.8318772411916731,5.16903182594302e-194,0.0,True,0.4545465464392215,0.8318772411916731,0.0,0.765625
CPM,0.3923083915488732,0.0369629870585445,1.124328135002202,0.0,0.0,True,0.3923083915488732,1.124328135002202,0.0,0.7599283854166665
NFASC,-0.3807681547099033,0.0320364004739294,1.257010618206024,0.0,0.0,False,0.3807681547099033,1.257010618206024,0.0,0.7586263020833333
IGSF3,0.377782899868416,6.470122783203307e-05,1.232660756790275,0.0,0.0,True,0.377782899868416,1.232660756790275,0.0,0.75732421875
HAVCR2,0.4745379566704244,0.0460322625194823,0.6690267655096307,1.48029414641632e-118,0.0,True,0.4745379566704244,0.6690267655096307,0.0,0.7532552083333333
LBP,0.673301196033206,0.0092171479687538,0.5655971758542251,2.37950382212588e-94,0.0,True,0.673301196033206,0.5655971758542251,0.0,0.7526041666666665
IGFBPL1,-0.4613839402374733,0.0231903286682103,0.6780719051126377,2.84824756571268e-116,0.0,False,0.4613839402374733,0.6780719051126377,0.0,0.7526041666666665
PSRC1,-0.3240182625169163,0.0212357025071255,0.2265085298086797,2.1454375747834002e-16,0.3864766018854553,False,0.3240182625169163,0.2265085298086797,0.3864766018854553,0.7521158854166666
PTPRN2,-0.4433989575733132,0.0117463610418634,-0.2175914350726267,1.43298072001737e-15,0.0380827623437114,True,0.4433989575733132,0.2175914350726267,0.0380827623437114,0.7521158854166665
CHI3L1,0.5187184634498712,0.0706844758294214,0.6040713236688608,1.6837741182517802e-95,0.0,True,0.5187184634498712,0.6040713236688608,0.0,0.7513020833333333
IL1R2,-0.5531008434423592,0.0106151190785371,0.5849625007211562,3.90768184283256e-96,0.0,False,0.5531008434423592,0.5849625007211562,0.0,0.7486979166666665
TFF1,-0.7915048277337062,0.0686010676368876,0.5260688116675876,3.77656981328508e-77,0.0,False,0.7915048277337062,0.5260688116675876,0.0,0.7478841145833333
VSIG4,0.3942431503834607,0.1232688511929792,0.7907720378619999,6.64726782473617e-156,0.0,True,0.3942431503834607,0.7907720378619999,0.0,0.7477213541666665
TGFA,0.4790399322337109,0.0090950746299418,0.6229303509201767,2.85368063334257e-110,0.0,True,0.4790399322337109,0.6229303509201767,0.0,0.7470703125
CALB2,0.5753196109185481,0.0213843516259641,0.5655971758542251,2.63704827040911e-88,0.0,True,0.5753196109185481,0.5655971758542251,0.0,0.7464192708333333
MMP12,0.657588507609022,0.0646962571434267,0.5360529002402097,8.60902014415788e-71,0.0,True,0.657588507609022,0.5360529002402097,0.0,0.7457682291666665
IDUA,-0.1127758915664172,0.2258328987605196,0.5849625007211562,7.28279088825054e-102,0.3611422593109746,False,0.1127758915664172,0.5849625007211562,0.3611422593109746,0.74560546875
SIRPA,0.3121029235764379,0.0002975266345265,0.1890338243900168,3.84585096487547e-12,0.6924963723206584,True,0.3121029235764379,0.1890338243900168,0.6924963723206584,0.7443033854166666
TFF2,-0.8714508084235577,0.0483750441120732,0.4956951626240687,1.1285899062662901e-67,0.0,False,0.8714508084235577,0.4956951626240687,0.0,0.7434895833333333
PON3,-0.3386750293314549,0.0388175364354609,-1.217591435072627,0.0,0.0,True,0.3386750293314549,1.217591435072627,0.0,0.7433268229166665
ERBB2,0.3768352816616538,0.0007790416910854,0.7990873060740036,1.50737376485685e-165,0.0,True,0.3768352816616538,0.7990873060740036,0.0,0.7421875
HSPB6,-0.5516498907412295,0.0076107247930824,0.5360529002402097,1.80403137959793e-65,0.0,False,0.5516498907412295,0.5360529002402097,0.0,0.7395833333333333
FSTL3,0.3904929253558897,0.0043216092441557,0.7136958148433589,1.16377162877434e-123,0.0,True,0.3904929253558897,0.7136958148433589,0.0,0.7392578125
TNF,0.4981418352493731,0.0285840201299332,0.5558161550616397,2.2976851083412002e-86,0.0,True,0.4981418352493731,0.5558161550616397,0.0,0.73828125
EPHB4,0.4689411158847161,1.014473349587305e-06,0.1763227726404628,5.149810555440461e-10,0.0764327524354405,True,0.4689411158847161,0.1763227726404628,0.0764327524354405,0.7376302083333333
GZMA,0.5191678647687983,0.0613133923143747,0.5160151470036647,2.76028017927013e-78,0.0,True,0.5191678647687983,0.5160151470036647,0.0,0.732421875
PRSS8,0.3162897721159172,0.0350055688836927,1.0,2.6948432464331303e-239,0.0,True,0.3162897721159172,1.0,0.0,0.7317708333333333
KLB,-0.2061610995043876,0.276022668606366,-0.2515387669959644,5.91488546355885e-20,0.5936111443155943,True,0.2061610995043876,0.2515387669959644,0.5936111443155943,0.7317708333333333
TGFBR2,0.483180180275065,2.3344435803497465e-05,0.5260688116675876,1.90633974073186e-71,0.0,True,0.483180180275065,0.5260688116675876,0.0,0.7296549479166665
IL18,0.4445815020827055,0.0647095709132524,0.5558161550616397,1.78530378012457e-85,0.0,True,0.4445815020827055,0.5558161550616397,0.0,0.7278645833333333
ANGPTL2,-0.3551224635350891,0.112986349540027,0.7136958148433589,3.79156217483433e-142,0.0,False,0.3551224635350891,0.7136958148433589,0.0,0.7272135416666665
FAS,0.3899065965394754,0.0006309845326729,0.6229303509201767,3.16528445978635e-100,0.0,True,0.3899065965394754,0.6229303509201767,0.0,0.7262369791666665
DDC,-0.6957297626723076,0.0013877836007172,-0.1046973786666932,0.0002294029160116,0.4783773807941072,True,0.6957297626723076,0.1046973786666932,0.4783773807941072,0.7259114583333333
ANPEP,0.2349254225889723,0.1760458623063485,0.2868811477881615,2.75711304703333e-24,0.0738149156986232,True,0.2349254225889723,0.2868811477881615,0.0738149156986232,0.7252604166666666
